ID (year-event-number),What event did you attend? ,Indicate the gender you identify the most with:,What is your sexual orientation?,What is your race? (Mark all that apply),Are you a Transfer Student?,What is your UCLA affiliation?,Where are you currently living this school year?,How did you hear about this event or program?,"To what extent do you agree with the following statements: [By attending this event, I gained knowledge and/or skills that will benefit my overall health or well-being.]",To what extent do you agree with the following statements: [I would apply the knowledge and/or skills I gained from attending this event in my life.],To what extent do you agree with the following statements: [I would attend a similar event in the future.],Briefly describe what you liked or disliked about this event.
21-001-001,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Facebook, Instagram, Twitter",Strongly Agree,Strongly Agree,Strongly Agree,I liked getting to meet people and socialize!!! 
21-001-002,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Agree,It was very interactive and the people I worked with were very nice! I loved getting to know campus more as well!
21-001-003,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,Middle Eastern,No,Undergraduate 2nd Year,Off-campus apartment,From a friend,Agree,Agree,Agree,
21-001-004,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Strongly Agree,Strongly Agree,Strongly Agree,
21-001-005,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Bisexual,Hispanic or Latinx,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)",Instagram,Neither Agree nor Disagree,Agree,Strongly Agree,I liked meeting new people and getting to know the campus better :) I wish the clues were related to student wellness facts 
21-001-006,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Neither Agree nor Disagree,Strongly Agree,loved the competitiveness !
21-001-007,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,Asian,No,Undergraduate 3rd Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Agree,I loved meeting everyone I participated in the event with and getting to know new people.
21-001-008,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Bisexual,Asian,No,Undergraduate 3rd Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,I liked getting to know other people. 
21-001-009,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,White,Yes,Undergraduate 4th Year,Off-campus apartment,From a friend,Agree,Neither Agree nor Disagree,Strongly Agree,It was a fun way to connect with people and explore the campus! 
21-001-010,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Bisexual,"Asian, White",No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Agree,i liked the teamwork aspect!
21-001-011,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,White,No,Undergraduate 4th Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Strongly Agree,Strongly Agree,Strongly Agree,
21-001-012,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,Asian,No,Undergraduate 1st Year,"On campus housing (dorms, university apartment)",Instagram,Agree,Agree,Agree,Good exercise
21-001-013,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Agree,
21-001-014,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,White,No,Undergraduate 3rd Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Strongly Agree,I liked the social interaction and physical activity involved in this event. I think the physical activity involved should have been emphasized more.
21-001-015,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,White,No,Undergraduate 4th Year,Off-campus apartment,From a friend,Agree,Agree,Agree,It was nice to meet people
21-001-016,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,White,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Really fun but disappointed we didnâ€™t get first place :(
21-001-017,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,Asian,No,Undergraduate 4th Year,Off-campus apartment,Instagram,Agree,Agree,Agree,
21-001-018,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)",Iâ€™m in active minds,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,
21-001-019,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,"Asian, White",No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,I loved meeting new people! 
21-001-020,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Bisexual,"Asian, White",No,Undergraduate 3rd Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Strongly Agree,I liked walking around campus and meeting new people!
21-001-021,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Bisexual,"Middle Eastern, White",No,Undergraduate 4th Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Disagree,Agree,Strongly Agree,"It was fun overall! I wish it had been a little clearer that it was based on arrival instead of submit time, but scavenger hunts are always great. We didnâ€™t really get a lot of social time, but we did get to chat!"
21-001-022,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Pansexual,Asian,No,Undergraduate 3rd Year,Off-campus apartment,Email,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,It was super fun and I liked walking around campus and talking with other students!
21-001-023,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Male,Heterosexual/Straight,Hispanic or Latinx,No,Undergraduate 4th Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,The fact that we didnâ€™t win :(
21-001-024,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Instagram, Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Disagree,Neither Agree nor Disagree,Disagree,
21-001-025,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Non-Binary,Bisexual,Hispanic or Latinx,No,Undergraduate 1st Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Agree,"it was really fun to walk around campus with th people i met, but it was also a lot of walking."
21-001-026,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,White,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Disagree,Neither Agree nor Disagree,Agree,I think the focus shouldâ€™ve been more on the riddles and less on who can figure out the fastest route! Maybe more health/mental wellness/SWC related clues?
21-001-027,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Male,Heterosexual/Straight,White,No,Undergraduate 4th Year,"On campus housing (dorms, university apartment)",From a friend,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Got to help my roomates get to know the campus 
21-001-028,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Male,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)",From a friend,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,
21-001-029,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,Asian,No,Undergraduate 4th Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Agree,
21-001-030,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Male,Heterosexual/Straight,Asian,No,Undergraduate 4th Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Agree,I loved the aspect of exploring campus and meeting new people.
21-001-031,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Male,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Instagram, Email",Agree,Agree,Agree,"It was a substitute for the orientation I couldnâ€™t have, and I got to know new people ðŸ˜€"
21-001-032,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,Asian,No,Undergraduate 3rd Year,Off-campus apartment,SWC Search member,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,"A couple people in my group already knew each other, so I felt a little left out. However, it was still nice socializing with all of them overall."
21-001-033,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Male,Gay,White,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Disagree,Strongly Agree,I liked that we got to travel around the campus but i feel the clues were too easy and there were opportunities for multiple correct answers.
21-001-034,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,Asian,No,Undergraduate 3rd Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Strongly Agree,Strongly Agree,Strongly Agree,
21-001-035,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,White,Yes,Undergraduate 3rd Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Strongly Disagree,Strongly Disagree,Strongly Disagree,Have an open conversation about topics that many people may not be comfortable with in most situations 
21-001-036,SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest,Female,Heterosexual/Straight,Middle Eastern,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,I liked how it was set up and how casual it was!  
21-002-001,Active Minds: Speed Friending,Female,Heterosexual/Straight,"Middle Eastern, White",No,Undergraduate 1st Year,"On campus housing (dorms, university apartment)",From a friend,Agree,Agree,Agree,
21-002-002,Active Minds: Speed Friending,Female,Pansexual,Asian,No,Undergraduate 3rd Year,Off-campus apartment,Instagram,Agree,Agree,Strongly Agree,It was fun! 
21-002-003,Active Minds: Speed Friending,Male,Heterosexual/Straight,Asian,No,Undergraduate 3rd Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Agree,
21-002-004,Active Minds: Speed Friending,Female,Heterosexual/Straight,"Hispanic or Latinx, White",Yes,Undergraduate 4th Year,Off-campus apartment,From a friend,Strongly Agree,Strongly Agree,Strongly Agree,There was free candy which was pretty chill :)
21-002-005,Active Minds: Speed Friending,Female,Heterosexual/Straight,White,No,Undergraduate 4th Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Agree,I loved meeting everyone!!
21-002-006,Active Minds: Speed Friending,Female,Heterosexual/Straight,Middle Eastern,Yes,Undergraduate 3rd Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Agree,I loved getting to know new people!
21-002-007,Active Minds: Speed Friending,Male,Heterosexual/Straight,Asian,Yes,Undergraduate 3rd Year,"On campus housing (dorms, university apartment)",Saw event by chance,Strongly Disagree,Strongly Disagree,Strongly Disagree,gifts
21-003-001,SEARCH: Coffee Chats & Matcha Mingles,Female,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Strongly Agree,
21-003-002,SEARCH: Coffee Chats & Matcha Mingles,Female,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Strongly Agree,Strongly Agree,Strongly Agree,So much fun talking to SEARCH members!! 
21-003-003,SEARCH: Coffee Chats & Matcha Mingles,Female,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)",Instagram,Agree,Agree,Agree,
21-003-004,SEARCH: Coffee Chats & Matcha Mingles,Female,Heterosexual/Straight,Asian,No,Undergraduate 3rd Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Strongly Agree,
21-003-005,SEARCH: Coffee Chats & Matcha Mingles,Female,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)",Instagram,Strongly Agree,Strongly Agree,Strongly Agree,"I liked the speed dating, it was super fun! I liked having drinks and getting to meet new people! "
21-003-006,SEARCH: Coffee Chats & Matcha Mingles,Female,Heterosexual/Straight,Middle Eastern,No,Undergraduate 2nd Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Strongly Agree,
21-003-007,SEARCH: Coffee Chats & Matcha Mingles,Female,Bisexual,Asian,No,Undergraduate 3rd Year,Off-campus apartment,Instagram,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,
21-003-008,SEARCH: Coffee Chats & Matcha Mingles,Female,Bisexual,Asian,No,Undergraduate 3rd Year,Off-campus,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Agree,
21-003-009,SEARCH: Coffee Chats & Matcha Mingles,Female,Bisexual,"Asian, White",No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Strongly Agree,Strongly Agree,Strongly Agree,I liked meeting new people!
21-003-010,SEARCH: Coffee Chats & Matcha Mingles,Female,Heterosexual/Straight,Indian,No,Undergraduate 4th Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Strongly Agree,Strongly Agree,Strongly Agree,
21-003-011,SEARCH: Coffee Chats & Matcha Mingles,Female,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Agree,I liked the social aspect to it and the educational purposes!
21-003-012,SEARCH: Coffee Chats & Matcha Mingles,Female,Heterosexual/Straight,"Asian, White",No,Undergraduate 4th Year,Off-campus apartment,"From a friend, Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Strongly Agree,Strongly Agree,Strongly Agree,
21-003-013,SEARCH: Coffee Chats & Matcha Mingles,Female,Heterosexual/Straight,White,No,Undergraduate 2nd Year,Sorority house,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Agree,I loved the drinks and activity!
21-003-014,SEARCH: Coffee Chats & Matcha Mingles,Female,Bisexual,Multiracial,No,Undergraduate 3rd Year,Off-campus apartment,SEARCH,Agree,Agree,Agree,
21-003-015,SEARCH: Coffee Chats & Matcha Mingles,Female,Heterosexual/Straight,Asian,No,Undergraduate 3rd Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Neither Agree nor Disagree,Agree,I liked meeting new people and that there was coffee/matcha. 
21-003-016,SEARCH: Coffee Chats & Matcha Mingles,Female,Heterosexual/Straight,Asian,No,Undergraduate 3rd Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Neither Agree nor Disagree,Agree,I liked socializing with students and learning more about their stories.
21-003-017,SEARCH: Coffee Chats & Matcha Mingles,Female,Heterosexual/Straight,Middle Eastern,No,Undergraduate 4th Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Strongly Agree,Strongly Agree,Strongly Agree,
21-003-018,SEARCH: Coffee Chats & Matcha Mingles,Male,Heterosexual/Straight,Asian,No,Undergraduate 1st Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Neither Agree nor Disagree,Strongly Agree,
21-003-019,SEARCH: Coffee Chats & Matcha Mingles,Female,Heterosexual/Straight,Asian,No,Undergraduate 3rd Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Neither Agree nor Disagree,Agree,I liked the free amenities and socializing with new people 
21-003-020,SEARCH: Coffee Chats & Matcha Mingles,Female,Heterosexual/Straight,Asian,No,Undergraduate 4th Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Strongly Agree,Liked: meeting new friends and having a time to chit chat. 
21-003-021,SEARCH: Coffee Chats & Matcha Mingles,Female,Heterosexual/Straight,Asian,No,Undergraduate 1st Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,
21-003-022,SEARCH: Coffee Chats & Matcha Mingles,Female,Heterosexual/Straight,White,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Strongly Agree,Strongly Agree,Strongly Agree,
21-003-023,SEARCH: Coffee Chats & Matcha Mingles,Female,Heterosexual/Straight,Asian,No,Undergraduate 3rd Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Agree,I liked getting to meet everyone and learning new things about people. 
21-003-024,SEARCH: Coffee Chats & Matcha Mingles,Male,Heterosexual/Straight,Asian,No,Undergraduate 4th Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Agree,I loved the social mingle aspect.
21-003-025,SEARCH: Coffee Chats & Matcha Mingles,Female,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Strongly Agree,Strongly Agree,Strongly Agree,I enjoyed the social aspect of it and the snacks provided! The presentation was also very informative and concise.
21-004-001,Active Minds: UCLA x UCI Jeopardy Social,Female,Heterosexual/Straight,Hispanic or Latinx,No,uci ,uci,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Strongly Agree,Strongly Agree,Strongly Agree,I enjoyed the positive atmosphere!
21-004-002,Active Minds: UCLA x UCI Jeopardy Social,Female,Prefer not to state,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)",Part of the club that hosted this event,Disagree,Disagree,Agree,
21-004-003,Active Minds: UCLA x UCI Jeopardy Social,Female,Heterosexual/Straight,White,Yes,Undergraduate 3rd Year,Off-campus apartment,Instagram,Strongly Agree,Strongly Agree,Strongly Agree,I liked meeting new people and playing a fun game of jeopardy! 
21-004-004,Active Minds: UCLA x UCI Jeopardy Social,Male,Heterosexual/Straight,White,Yes,UCLA Staff,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Strongly Agree,Strongly Agree,Strongly Agree,Liked every thing. 
21-004-005,Active Minds: UCLA x UCI Jeopardy Social,Female,Heterosexual/Straight,White,Yes,Undergraduate 4th Year,Off-campus apartment,"I'm on the exec board of active minds at UCI, but did not plan the event",Agree,Neither Agree nor Disagree,Agree,The questions were very creative!! Maybe music in the background could make it better :)
